slide,fov,coverage,edge_density,glcm_contrast,lbp_entropy,composite_score
25033489,IMG008x011.bmp,0.5701,0.1655,97.48,3.8285,0.4676
25033489,IMG003x001.bmp,0.6693,0.1586,81.52,3.9187,0.4834
25033489,IMG018x006.bmp,0.5561,0.1759,111.56,4.0276,0.4883
25033489,IMG005x016.bmp,0.7519,0.149,83.66,3.8349,0.4926
25033489,IMG016x004.bmp,0.5295,0.189,126.07,3.9649,0.49
25033489,IMG007x018.bmp,0.5669,0.1589,94.45,3.8942,0.4679
25033489,IMG014x003.bmp,0.5613,0.1765,116.98,3.9327,0.4859
25033489,IMG008x013.bmp,0.5734,0.1608,94.08,3.8303,0.4653
25033489,IMG016x016.bmp,0.5323,0.1896,118.86,3.995,0.4891
25033489,IMG007x005.bmp,0.7155,0.1761,106.46,3.8259,0.5042
25033489,IMG010x005.bmp,0.565,0.173,109.76,3.9657,0.4842
