slide,fov,coverage,edge_density,glcm_contrast,lbp_entropy,composite_score
250917371,IMG007x009.bmp,0.6527,0.1794,100.17,4.0257,0.5028
250917371,IMG009x005.bmp,0.7441,0.1877,105.99,3.9757,0.5232
250917371,IMG007x012.bmp,0.6993,0.1833,106.19,4.037,0.5171
250912792,IMG003x016.bmp,0.5906,0.2213,146.58,3.9693,0.5224
250912792,IMG011x015.bmp,0.5995,0.2002,127.23,3.9476,0.5068
250912792,IMG008x017.bmp,0.6908,0.1957,117.73,3.9772,0.5209
250912792,IMG013x017.bmp,0.6631,0.1797,102.25,4.0028,0.5045
250912792,IMG011x007.bmp,0.4966,0.2201,134.05,3.9932,0.4986
250912792,IMG005x012.bmp,0.6377,0.222,141.8,4.0089,0.5323
250912792,IMG011x010.bmp,0.5965,0.2115,129.15,3.9983,0.5139
250912792,IMG011x002.bmp,0.526,0.2314,147.25,4.0303,0.5169
250912792,IMG006x018.bmp,0.6964,0.2116,136.77,3.9629,0.5353
250912792,IMG008x011.bmp,0.6201,0.2051,127.17,4.0436,0.5187
250912792,IMG003x001.bmp,0.5594,0.2323,158.56,3.9633,0.5251
250912792,IMG005x016.bmp,0.6501,0.2117,137.18,3.9807,0.5275
250912792,IMG007x018.bmp,0.6987,0.2063,134.2,3.9786,0.534
250912792,IMG014x003.bmp,0.5311,0.2406,149.34,4.0294,0.5217
250912792,IMG008x013.bmp,0.6553,0.2137,135.95,3.9632,0.5273
250912792,IMG007x005.bmp,0.5632,0.2229,139.45,3.9972,0.5157
250912792,IMG010x005.bmp,0.5868,0.2252,141.51,4.0045,0.5226
250912792,IMG002x011.bmp,0.6427,0.2074,125.09,4.0484,0.5232
250912792,IMG007x010.bmp,0.5941,0.2104,132.23,3.9842,0.5137
250912792,IMG001x017.bmp,0.5425,0.188,116.34,3.9448,0.4861
