sample_id,fov_id,annotator,country,tags
KTR-72502948,70,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,71,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated, Artifact"
KTR-72502948,72,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,73,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,74,E. Chu,Tanzania,Monolayer
KTR-72502948,75,E. Chu,Tanzania,Monolayer
KTR-72502948,76,E. Chu,Tanzania,Monolayer
KTR-72502948,77,E. Chu,Tanzania,Monolayer
KTR-72502948,78,E. Chu,Tanzania,Monolayer
KTR-72502948,79,E. Chu,Tanzania,Monolayer
KTR-72502948,80,E. Chu,Tanzania,Monolayer
KTR-72502948,81,E. Chu,Tanzania,Monolayer
KTR-72502948,82,E. Chu,Tanzania,Monolayer
KTR-72502948,83,E. Chu,Tanzania,Monolayer
KTR-72502948,84,E. Chu,Tanzania,Monolayer
KTR-72502948,85,E. Chu,Tanzania,Monolayer
KTR-72502948,86,E. Chu,Tanzania,Monolayer
KTR-72502948,87,E. Chu,Tanzania,Monolayer
KTR-72502948,88,E. Chu,Tanzania,Monolayer
KTR-72502948,89,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,90,E. Chu,Tanzania,Monolayer
KTR-72502948,91,E. Chu,Tanzania,Sparser
KTR-72502948,92,E. Chu,Tanzania,Sparser
KTR-72502948,93,E. Chu,Tanzania,Sparser
KTR-72502948,94,E. Chu,Tanzania,Sparser
KTR-72502948,95,E. Chu,Tanzania,Sparser
KTR-72502948,96,E. Chu,Tanzania,Sparser
KTR-72502948,97,E. Chu,Tanzania,Sparser
KTR-72502948,98,E. Chu,Tanzania,Sparser
KTR-72502948,99,E. Chu,Tanzania,"Sparser, Unfocused"
KTR-72502948,100,E. Chu,Tanzania,Sparser
KTR-72502948,101,E. Chu,Tanzania,Sparser
KTR-72502948,102,E. Chu,Tanzania,Sparser
KTR-72502948,103,E. Chu,Tanzania,Monolayer
KTR-72502948,104,E. Chu,Tanzania,Sparser
KTR-72502948,105,E. Chu,Tanzania,Monolayer
KTR-72502948,106,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,107,E. Chu,Tanzania,Monolayer
KTR-72502948,108,E. Chu,Tanzania,Monolayer
KTR-72502948,109,E. Chu,Tanzania,Monolayer
KTR-72502948,110,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502948,111,E. Chu,Tanzania,Sparser
KTR-72502948,112,E. Chu,Tanzania,Sparser
KTR-72502948,113,E. Chu,Tanzania,Sparser
KTR-72502948,114,E. Chu,Tanzania,Sparser
KTR-72502948,115,E. Chu,Tanzania,Sparser
KTR-72502948,116,E. Chu,Tanzania,Monolayer
KTR-72502948,117,E. Chu,Tanzania,Monolayer
KTR-72502948,118,E. Chu,Tanzania,Sparser
KTR-72502948,119,E. Chu,Tanzania,Sparser
KTR-72502948,120,E. Chu,Tanzania,Sparser
KTR-72502948,121,E. Chu,Tanzania,Sparser
KTR-72502948,122,E. Chu,Tanzania,Sparser
KTR-72502948,123,E. Chu,Tanzania,Sparser
KTR-72502948,124,E. Chu,Tanzania,Monolayer
KTR-72502948,125,E. Chu,Tanzania,Monolayer
KTR-72502948,126,E. Chu,Tanzania,Monolayer
KTR-72502948,127,E. Chu,Tanzania,"Monolayer, Other Dimples"
KTR-72502948,128,E. Chu,Tanzania,Monolayer
KTR-72502948,129,E. Chu,Tanzania,Monolayer
KTR-72502948,130,E. Chu,Tanzania,Monolayer
KTR-72502948,131,E. Chu,Tanzania,Monolayer
KTR-72502948,132,E. Chu,Tanzania,Monolayer
KTR-72502948,133,E. Chu,Tanzania,"Sparser, Some Rouleaux"
KTR-72502948,134,E. Chu,Tanzania,Sparser
KTR-72502948,135,E. Chu,Tanzania,Sparser
KTR-72502948,136,E. Chu,Tanzania,Sparser
KTR-72502948,137,E. Chu,Tanzania,Sparser
KTR-72502948,138,E. Chu,Tanzania,Sparser
KTR-72502948,139,E. Chu,Tanzania,"Sparser, Unfocused"
KTR-72502948,140,E. Chu,Tanzania,Sparser
KTR-72502948,141,E. Chu,Tanzania,Sparser
KTR-72502948,142,E. Chu,Tanzania,Sparser
KTR-72502948,143,E. Chu,Tanzania,Sparser
KTR-72502948,144,E. Chu,Tanzania,Sparser
KTR-72502948,145,E. Chu,Tanzania,Monolayer
KTR-72502948,146,E. Chu,Tanzania,Monolayer
KTR-72502948,147,E. Chu,Tanzania,Monolayer
KTR-72502948,148,E. Chu,Tanzania,Monolayer
KTR-72502948,149,E. Chu,Tanzania,Monolayer
KTR-72502948,150,E. Chu,Tanzania,Monolayer
KTR-72502948,151,E. Chu,Tanzania,Monolayer
KTR-72502948,152,E. Chu,Tanzania,Monolayer
KTR-72502948,153,E. Chu,Tanzania,Monolayer
KTR-72502948,154,E. Chu,Tanzania,Monolayer
KTR-72502948,155,E. Chu,Tanzania,Monolayer
KTR-72502948,156,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502948,157,E. Chu,Tanzania,Sparser
KTR-72502948,158,E. Chu,Tanzania,Sparser
KTR-72502948,159,E. Chu,Tanzania,Sparser
KTR-72502948,160,E. Chu,Tanzania,Sparser
KTR-72502948,161,E. Chu,Tanzania,Sparser
KTR-72502948,162,E. Chu,Tanzania,Sparser
KTR-72502948,163,E. Chu,Tanzania,"Monolayer, Slight Rouleaux"
KTR-72502948,164,E. Chu,Tanzania,Monolayer
KTR-72502948,165,E. Chu,Tanzania,"Monolayer, Slight Rouleaux"
KTR-72502948,166,E. Chu,Tanzania,"Sparser, Slight Rouleaux"
KTR-72502948,167,E. Chu,Tanzania,Monolayer
KTR-72502948,168,E. Chu,Tanzania,"Monolayer, Slight Rouleaux"
KTR-72502948,169,E. Chu,Tanzania,"Monolayer, Slight Rouleaux"
KTR-72502948,170,E. Chu,Tanzania,"Monolayer, Slight Rouleaux"
KTR-72502948,171,E. Chu,Tanzania,Monolayer
KTR-72502948,172,E. Chu,Tanzania,Monolayer
KTR-72502948,173,E. Chu,Tanzania,Monolayer
KTR-72502948,174,E. Chu,Tanzania,Monolayer
KTR-72502948,175,E. Chu,Tanzania,Sparser
KTR-72502948,176,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,177,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,178,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,179,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,180,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,181,E. Chu,Tanzania,"Dense, Rouleaux"
KTR-72502948,182,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502948,183,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502948,184,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502948,185,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502948,186,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502948,187,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502948,188,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502948,189,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502948,190,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502948,191,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502948,192,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux"
KTR-72502948,193,E. Chu,Tanzania,"Monolayer, Slight Rouleaux"
KTR-72502948,194,E. Chu,Tanzania,"Monolayer, Slight Rouleaux"
KTR-72502948,195,E. Chu,Tanzania,"Monolayer, Some Rouleaux"
KTR-72502948,196,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux"
KTR-72502948,197,E. Chu,Tanzania,"Monolayer, Slight Rouleaux"
KTR-72502948,198,E. Chu,Tanzania,"Monolayer, Slight Rouleaux"
KTR-72502948,199,E. Chu,Tanzania,"Dense, Rouleaux"
KTR-72502948,200,E. Chu,Tanzania,"Dense, Rouleaux"
KTR-72502948,201,E. Chu,Tanzania,"Dense, Rouleaux"
KTR-72502948,202,E. Chu,Tanzania,"Dense, Rouleaux"
KTR-72502948,203,E. Chu,Tanzania,Very Dense
KTR-72502948,204,E. Chu,Tanzania,"Very Dense, Heavy Rouleaux"
KTR-72502948,205,E. Chu,Tanzania,"Very Dense, Heavy Rouleaux"
KTR-72502948,206,E. Chu,Tanzania,"Very Dense, Heavy Rouleaux"
KTR-72502948,207,E. Chu,Tanzania,"Very Dense, Heavy Rouleaux"
KTR-72502948,208,E. Chu,Tanzania,"Dense, Rouleaux"
KTR-72502948,209,E. Chu,Tanzania,"Dense, Rouleaux"
KTR-72502948,210,E. Chu,Tanzania,"Very Dense, Heavy Rouleaux"
KTR-72502948,211,E. Chu,Tanzania,"Very Dense, Heavy Rouleaux"
KTR-72502948,212,E. Chu,Tanzania,"Dense, Rouleaux"
KTR-72502948,213,E. Chu,Tanzania,"Very Dense, Heavy Rouleaux"
KTR-72502948,214,E. Chu,Tanzania,"Very Dense, Heavy Rouleaux"
KTR-72502948,215,E. Chu,Tanzania,"Very Dense, Heavy Rouleaux"
KTR-72502948,216,E. Chu,Tanzania,"Very Dense, Heavy Rouleaux"
KTR-72502948,217,E. Chu,Tanzania,Monolayer
KTR-72502948,218,E. Chu,Tanzania,Monolayer
KTR-72502948,219,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,220,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,221,E. Chu,Tanzania,Monolayer
KTR-72502948,222,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,223,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,224,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,225,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,226,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,227,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,228,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,229,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,230,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,231,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,232,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,233,E. Chu,Tanzania,"Dense, Some Rouleaux"
KTR-72502948,234,E. Chu,Tanzania,"Slightly Dense, Some Rouleaux, Crenated"
KTR-72502948,235,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,236,E. Chu,Tanzania,Monolayer
KTR-72502948,237,E. Chu,Tanzania,Monolayer
KTR-72502948,238,E. Chu,Tanzania,Monolayer
KTR-72502948,239,E. Chu,Tanzania,Monolayer
KTR-72502948,240,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,241,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,242,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,243,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,244,E. Chu,Tanzania,Monolayer
KTR-72502948,245,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,246,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,247,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,248,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,249,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,250,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,251,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,252,E. Chu,Tanzania,"Slightly Dense, Slight Rouleaux, Crenated"
KTR-72502948,253,E. Chu,Tanzania,Monolayer
KTR-72502948,254,E. Chu,Tanzania,Monolayer
KTR-72502948,255,E. Chu,Tanzania,Monolayer
KTR-72502948,256,E. Chu,Tanzania,Monolayer
KTR-72502948,257,E. Chu,Tanzania,Monolayer
KTR-72502948,258,E. Chu,Tanzania,Monolayer
KTR-72502948,259,E. Chu,Tanzania,Monolayer
KTR-72502948,260,E. Chu,Tanzania,Monolayer
KTR-72502948,261,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,262,E. Chu,Tanzania,Monolayer
KTR-72502948,263,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,264,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,265,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,266,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,267,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,268,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,269,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,270,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,271,E. Chu,Tanzania,Monolayer
KTR-72502948,272,E. Chu,Tanzania,Monolayer
KTR-72502948,273,E. Chu,Tanzania,Monolayer
KTR-72502948,274,E. Chu,Tanzania,Monolayer
KTR-72502948,275,E. Chu,Tanzania,Monolayer
KTR-72502948,276,E. Chu,Tanzania,Monolayer
KTR-72502948,277,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,278,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,279,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,280,E. Chu,Tanzania,Monolayer
KTR-72502948,281,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,282,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,283,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,284,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,285,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,286,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,287,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,288,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,289,E. Chu,Tanzania,Monolayer
KTR-72502948,290,E. Chu,Tanzania,Monolayer
KTR-72502948,291,E. Chu,Tanzania,Monolayer
KTR-72502948,292,E. Chu,Tanzania,Monolayer
KTR-72502948,293,E. Chu,Tanzania,Monolayer
KTR-72502948,294,E. Chu,Tanzania,Monolayer
KTR-72502948,295,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,296,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,297,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,298,E. Chu,Tanzania,Monolayer
KTR-72502948,299,E. Chu,Tanzania,Monolayer
KTR-72502948,300,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,301,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,302,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,303,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,304,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,305,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,306,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,307,E. Chu,Tanzania,Monolayer
KTR-72502948,308,E. Chu,Tanzania,Monolayer
KTR-72502948,309,E. Chu,Tanzania,Monolayer
KTR-72502948,310,E. Chu,Tanzania,Monolayer
KTR-72502948,311,E. Chu,Tanzania,Monolayer
KTR-72502948,312,E. Chu,Tanzania,Monolayer
KTR-72502948,313,E. Chu,Tanzania,Monolayer
KTR-72502948,314,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,315,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,316,E. Chu,Tanzania,Monolayer
KTR-72502948,317,E. Chu,Tanzania,Monolayer
KTR-72502948,318,E. Chu,Tanzania,Monolayer
KTR-72502948,319,E. Chu,Tanzania,Monolayer
KTR-72502948,320,E. Chu,Tanzania,Monolayer
KTR-72502948,321,E. Chu,Tanzania,"Monolayer, Crenated"
KTR-72502948,322,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,323,E. Chu,Tanzania,"Monolayer, Slight Rouleaux, Crenated"
KTR-72502948,324,E. Chu,Tanzania,"Monolayer, Crenated"
